timestamp,open,high,low,close,volume
2024-01-02,172.50,174.80,172.20,174.50,42000000
2024-01-03,174.50,175.50,174.00,175.20,40000000
2024-01-04,175.20,176.50,175.00,176.30,44000000
2024-01-05,176.30,177.20,176.00,177.00,42000000
2024-01-08,177.00,178.00,176.80,177.80,46000000
2024-01-09,177.80,178.50,177.50,178.30,44000000
2024-01-10,178.30,179.50,178.10,179.30,48000000
2024-01-11,179.30,180.00,179.00,179.80,45000000
2024-01-12,179.80,180.80,179.50,180.60,47000000
2024-01-16,180.60,181.50,180.30,181.30,50000000
2024-01-17,181.30,182.20,181.00,182.00,48000000
2024-01-18,182.00,183.00,181.70,182.80,52000000
2024-01-19,182.80,183.80,182.50,183.50,49000000
2024-01-22,183.50,184.50,183.20,184.30,53000000
2024-01-23,184.30,185.30,184.00,185.00,51000000
