timestamp,symbol,side,exchange,price,size
09:30:00.000,MSFT,BID,NYSE,378.50,1200
09:30:00.000,MSFT,BID,ARCA,378.48,900
09:30:00.000,MSFT,BID,BATS,378.46,1100
09:30:00.000,MSFT,BID,EDGX,378.44,600
09:30:00.000,MSFT,BID,IEX,378.42,800
09:30:00.000,MSFT,BID,NYSE,378.40,1500
09:30:00.000,MSFT,BID,ARCA,378.38,700
09:30:00.000,MSFT,BID,BATS,378.36,1000
09:30:00.000,MSFT,BID,EDGX,378.34,500
09:30:00.000,MSFT,BID,IEX,378.32,900
09:30:00.000,MSFT,ASK,NYSE,378.55,1000
09:30:00.000,MSFT,ASK,ARCA,378.57,800
09:30:00.000,MSFT,ASK,BATS,378.59,1200
09:30:00.000,MSFT,ASK,EDGX,378.61,500
09:30:00.000,MSFT,ASK,IEX,378.63,900
09:30:00.000,MSFT,ASK,NYSE,378.65,700
09:30:00.000,MSFT,ASK,ARCA,378.67,1100
09:30:00.000,MSFT,ASK,BATS,378.69,400
09:30:00.000,MSFT,ASK,EDGX,378.71,1300
09:30:00.000,MSFT,ASK,IEX,378.73,600
