timestamp,symbol,price,size,direction
09:30:00.100,GOOGL,141.52,250,UP
09:30:00.250,GOOGL,141.54,180,UP
09:30:00.400,GOOGL,141.51,350,DOWN
09:30:00.550,GOOGL,141.51,120,SAME
09:30:00.700,GOOGL,141.55,280,UP
09:30:00.850,GOOGL,141.58,420,UP
09:30:01.000,GOOGL,141.55,195,DOWN
09:30:01.150,GOOGL,141.53,245,DOWN
09:30:01.300,GOOGL,141.56,380,UP
09:30:01.450,GOOGL,141.59,520,UP
09:30:01.600,GOOGL,141.57,145,DOWN
09:30:01.750,GOOGL,141.60,295,UP
09:30:01.900,GOOGL,141.62,470,UP
09:30:02.050,GOOGL,141.59,220,DOWN
09:30:02.200,GOOGL,141.59,170,SAME
