timestamp,symbol,side,exchange,price,size
09:30:00.000,AAPL,BID,NYSE,175.50,1500
09:30:00.000,AAPL,BID,ARCA,175.49,800
09:30:00.000,AAPL,BID,BATS,175.48,1200
09:30:00.000,AAPL,BID,EDGX,175.47,500
09:30:00.000,AAPL,BID,IEX,175.46,900
09:30:00.000,AAPL,BID,NYSE,175.45,2000
09:30:00.000,AAPL,BID,ARCA,175.44,1100
09:30:00.000,AAPL,BID,BATS,175.43,600
09:30:00.000,AAPL,BID,EDGX,175.42,1400
09:30:00.000,AAPL,BID,IEX,175.41,700
09:30:00.000,AAPL,ASK,NYSE,175.55,1200
09:30:00.000,AAPL,ASK,ARCA,175.56,900
09:30:00.000,AAPL,ASK,BATS,175.57,1500
09:30:00.000,AAPL,ASK,EDGX,175.58,600
09:30:00.000,AAPL,ASK,IEX,175.59,1100
09:30:00.000,AAPL,ASK,NYSE,175.60,800
09:30:00.000,AAPL,ASK,ARCA,175.61,1300
09:30:00.000,AAPL,ASK,BATS,175.62,500
09:30:00.000,AAPL,ASK,EDGX,175.63,1600
09:30:00.000,AAPL,ASK,IEX,175.64,400
