timestamp,open,high,low,close,volume
09:30,141.50,142.05,141.42,142.00,608000
09:35,142.00,142.42,141.92,142.38,503000
09:40,142.38,142.85,142.30,142.78,671000
09:45,142.78,142.72,142.52,142.60,372000
09:50,142.60,143.00,142.52,142.95,625000
09:55,142.95,143.35,142.88,143.28,768000
10:00,143.28,143.58,143.20,143.52,438000
10:05,143.52,143.78,143.45,143.72,415000
10:10,143.72,143.98,143.65,143.92,442000
10:15,143.92,144.18,143.85,144.12,428000
10:20,144.12,144.38,144.05,144.32,475000
10:25,144.32,144.55,144.25,144.50,508000
10:30,144.50,144.75,144.42,144.68,542000
10:35,144.68,144.92,144.58,144.85,519000
10:40,144.85,145.08,144.75,145.02,553000
