timestamp,symbol,price,size,direction
09:30:00.100,MSFT,378.52,150,UP
09:30:00.250,MSFT,378.54,200,UP
09:30:00.400,MSFT,378.51,250,DOWN
09:30:00.550,MSFT,378.51,100,SAME
09:30:00.700,MSFT,378.55,300,UP
09:30:00.850,MSFT,378.58,350,UP
09:30:01.000,MSFT,378.55,175,DOWN
09:30:01.150,MSFT,378.53,200,DOWN
09:30:01.300,MSFT,378.56,275,UP
09:30:01.450,MSFT,378.59,400,UP
09:30:01.600,MSFT,378.57,125,DOWN
09:30:01.750,MSFT,378.60,225,UP
09:30:01.900,MSFT,378.62,375,UP
09:30:02.050,MSFT,378.59,150,DOWN
09:30:02.200,MSFT,378.59,175,SAME
