timestamp,open,high,low,close,volume
09:30,175.50,175.65,175.45,175.60,125000
09:31,175.60,175.72,175.55,175.68,98000
09:32,175.68,175.75,175.62,175.70,85000
09:33,175.70,175.80,175.65,175.75,112000
09:34,175.75,175.82,175.70,175.78,95000
09:35,175.78,175.85,175.72,175.80,78000
09:36,175.80,175.90,175.78,175.88,145000
09:37,175.88,175.95,175.82,175.90,132000
09:38,175.90,175.98,175.85,175.92,88000
09:39,175.92,176.05,175.88,176.00,156000
09:40,176.00,176.10,175.95,176.05,167000
09:41,176.05,176.15,176.00,176.10,143000
09:42,176.10,176.18,176.02,176.08,98000
09:43,176.08,176.12,175.98,176.02,112000
09:44,176.02,176.08,175.90,175.95,135000
09:45,175.95,176.00,175.85,175.92,89000
09:46,175.92,175.98,175.82,175.88,76000
09:47,175.88,175.95,175.80,175.85,95000
09:48,175.85,175.92,175.78,175.90,108000
09:49,175.90,176.00,175.85,175.98,125000
09:50,175.98,176.08,175.92,176.05,142000
09:51,176.05,176.15,176.00,176.12,156000
09:52,176.12,176.20,176.08,176.18,178000
09:53,176.18,176.25,176.12,176.20,165000
09:54,176.20,176.30,176.15,176.28,189000
09:55,176.28,176.35,176.22,176.32,198000
09:56,176.32,176.40,176.28,176.38,175000
09:57,176.38,176.45,176.32,176.42,168000
09:58,176.42,176.50,176.38,176.48,192000
09:59,176.48,176.55,176.42,176.52,205000
10:00,176.52,176.60,176.48,176.58,218000
