timestamp,symbol,price,size,direction
09:30:00.100,AAPL,175.52,200,UP
09:30:00.250,AAPL,175.53,150,UP
09:30:00.400,AAPL,175.51,300,DOWN
09:30:00.550,AAPL,175.51,100,SAME
09:30:00.700,AAPL,175.54,250,UP
09:30:00.850,AAPL,175.55,400,UP
09:30:01.000,AAPL,175.53,175,DOWN
09:30:01.150,AAPL,175.52,225,DOWN
09:30:01.300,AAPL,175.54,350,UP
09:30:01.450,AAPL,175.56,500,UP
09:30:01.600,AAPL,175.55,125,DOWN
09:30:01.750,AAPL,175.57,275,UP
09:30:01.900,AAPL,175.58,450,UP
09:30:02.050,AAPL,175.56,200,DOWN
09:30:02.200,AAPL,175.56,150,SAME
