timestamp,open,high,low,close,volume
09:30,378.50,378.75,378.40,378.68,95000
09:31,378.68,378.85,378.60,378.80,82000
09:32,378.80,378.95,378.72,378.90,78000
09:33,378.90,379.10,378.82,379.05,98000
09:34,379.05,379.20,378.95,379.15,88000
09:35,379.15,379.30,379.05,379.25,72000
09:36,379.25,379.45,379.18,379.40,115000
09:37,379.40,379.55,379.32,379.50,105000
09:38,379.50,379.65,379.42,379.58,75000
09:39,379.58,379.80,379.50,379.75,125000
09:40,379.75,379.95,379.68,379.90,138000
09:41,379.90,380.05,379.82,380.00,118000
09:42,380.00,380.15,379.92,380.08,85000
09:43,380.08,380.12,379.95,380.02,92000
09:44,380.02,380.08,379.88,379.92,108000
09:45,379.92,380.00,379.82,379.88,78000
