timestamp,open,high,low,close,volume
09:30,178.50,178.70,178.42,178.65,135000
09:31,178.65,178.82,178.58,178.75,110000
09:32,178.75,178.90,178.68,178.85,98000
09:33,178.85,179.02,178.78,178.95,120000
09:34,178.95,179.10,178.88,179.05,105000
09:35,179.05,179.22,178.98,179.18,88000
09:36,179.18,179.35,179.10,179.30,155000
09:37,179.30,179.45,179.22,179.40,140000
09:38,179.40,179.55,179.32,179.48,95000
09:39,179.48,179.68,179.40,179.62,165000
09:40,179.62,179.82,179.55,179.75,178000
09:41,179.75,179.92,179.68,179.85,152000
09:42,179.85,179.98,179.78,179.92,102000
09:43,179.92,179.95,179.80,179.85,115000
09:44,179.85,179.90,179.72,179.78,138000
09:45,179.78,179.85,179.65,179.72,98000
