timestamp,open,high,low,close,volume
2024-01-02,138.50,140.20,138.20,139.80,32000000
2024-01-03,139.80,140.50,139.40,140.10,30000000
2024-01-04,140.10,141.00,139.80,140.80,33000000
2024-01-05,140.80,141.50,140.50,141.20,31000000
2024-01-08,141.20,142.00,141.00,141.80,35000000
2024-01-09,141.80,142.50,141.50,142.20,33000000
2024-01-10,142.20,143.00,142.00,142.80,37000000
2024-01-11,142.80,143.50,142.50,143.20,34000000
2024-01-12,143.20,144.00,143.00,143.80,36000000
2024-01-16,143.80,144.50,143.50,144.20,39000000
2024-01-17,144.20,145.00,144.00,144.80,37000000
2024-01-18,144.80,145.50,144.50,145.20,41000000
2024-01-19,145.20,146.00,145.00,145.80,38000000
2024-01-22,145.80,146.50,145.50,146.20,42000000
2024-01-23,146.20,147.00,146.00,146.80,40000000
